customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,segment,region
C000001,11,82,8344.75,4,1,1,411,Hibernating,RAJSHAHI
C000002,62,103,11025.5,1,2,2,122,Potential,RAJSHAHI
C000003,82,108,12120.25,1,3,4,134,Potential,RAJSHAHI
C000004,33,118,13337.0,2,4,5,245,Hibernating,RANGPUR
C000005,61,108,10893.25,1,3,2,132,Potential,CHITTAGONG
C000006,3,109,12937.75,5,3,5,535,Loyal,RAJSHAHI
C000007,2,121,12935.0,5,5,5,555,Champion,RAJSHAHI
C000008,30,105,9714.0,2,2,1,221,Hibernating,DHAKA
C000009,5,107,11760.5,5,3,3,533,Loyal,RANGPUR
C000010,51,101,10208.0,1,2,1,121,Potential,BARISAL
C000011,22,127,12475.5,3,5,4,354,Loyal,DHAKA
C000012,3,89,8485.5,5,1,1,511,Hibernating,KHULNA
C000013,76,101,9942.5,1,2,1,121,Potential,DHAKA
C000014,42,124,13356.0,1,5,5,155,Potential,RAJSHAHI
C000015,30,111,11681.75,2,3,3,233,Hibernating,DHAKA
C000016,8,110,11040.5,4,3,2,432,Loyal,CHITTAGONG
C000017,14,102,10221.75,3,2,1,321,Hibernating,DHAKA
C000018,21,110,12717.5,3,3,5,335,Loyal,RANGPUR
C000019,12,118,13237.25,4,4,5,445,Champion,DHAKA
C000020,77,123,12206.0,1,5,4,154,Potential,DHAKA
C000021,37,102,9921.75,2,2,1,221,Hibernating,DHAKA
C000022,12,82,8973.5,4,1,1,411,Hibernating,KHULNA
C000023,29,97,10079.0,2,1,1,211,Hibernating,DHAKA
C000024,57,104,10315.75,1,2,2,122,Potential,RANGPUR
C000025,46,91,9572.0,1,1,1,111,Potential,CHITTAGONG
C000026,52,99,11067.0,1,1,2,112,Potential,RANGPUR
C000027,80,103,11222.5,1,2,3,123,Potential,DHAKA
C000028,23,107,11780.0,3,3,3,333,Loyal,DHAKA
C000029,19,109,11581.25,3,3,3,333,Loyal,DHAKA
C000030,43,103,10769.5,1,2,2,122,Potential,DHAKA
C000031,2,91,9639.0,5,1,1,511,Hibernating,DHAKA
C000032,20,110,10976.75,3,3,2,332,Loyal,CHITTAGONG
C000033,62,100,10892.5,1,1,2,112,Potential,DHAKA
C000034,89,130,13025.25,1,5,5,155,Potential,KHULNA
